KEY_UP,2,54.8209
KEY_Z,5,147.898
KEY_8,2,298.945
KEY_APOSTROPHE,5,217.348
KEY_9,5,211.664
KEY_5,1,0
KEY_EQUAL,24,665.679
KEY_R,36,753.591
KEY_RIGHTSHIFT,8,819.356
KEY_COMMA,31,814.294
KEY_Y,12,692.796
KEY_0,4,919.512
KEY_MINUS,10,772.354
KEY_U,18,829.257
KEY_SLASH,10,941.377
KEY_BACKSPACE,31,954.712
KEY_DOT,11,649.961
KEY_SEMICOLON,48,975.448
KEY_Q,7,1007.95
KEY_LEFTSHIFT,66,939.303
KEY_P,17,903.873
KEY_O,57,978.369
KEY_H,28,923.807
KEY_K,115,995.694
KEY_S,37,1033.99
KEY_1,19,1069.9
KEY_4,6,975.25
KEY_G,22,883.2
KEY_ESC,49,1049.33
KEY_A,38,1019.83
KEY_3,3,180.539
KEY_F,30,995.512
KEY_LEFTALT,39,1097.89
KEY_W,135,1067.96
KEY_C,11,955.603
KEY_X,7,934.361
KEY_CAPSLOCK,19,915.047
KEY_2,12,1108.09
KEY_D,79,1051.36
KEY_LEFTMETA,17,1097.56
KEY_L,61,1017.96
KEY_TAB,28,683.525
KEY_ENTER,83,1082.59
KEY_SPACE,41,996.334
KEY_B,73,1084.8
KEY_DOWN,2,90.4041
KEY_N,39,1052.54
KEY_T,49,1023.42
KEY_RIGHT,1,0
KEY_V,17,886.379
KEY_E,56,1021.92
KEY_I,63,1023.61
KEY_SWITCHVIDEOMODE,1,0
KEY_M,17,1053.67
KEY_BACKSLASH,22,980.042
KEY_J,141,1053.56
